FirstName,LastName,Gender,MaritalStatus,Ethnicity,Employer,Address,City,State,Zip,Office,Region,Phone1,Phone2,Email,DOB,SSN,HireDate,GrossMonthlyIncome,IncomeFromOtherSources,CreditScore,CoBorrowerFirstName,CoBorrowerLastName,CoDOB,COSSN,CoCurrentEmployer,CoLengthOfEmployment,CoGrossMonthlyIncome,LoanDate,LoanType,LoanAmount,DownPayment,CurrentBalance,MultipleProperties,CurrentPropertyTaxes,CurrentHomeOwnerInsurance,CoCreditScore,Channel,LoanStatus,LoanOfficer,RealtorsName,ReltorCompany,RealtorLocation,RealtorState,LoanID
Valentine,Gillian,Female,Married,Caucasian,Fbs Business Finance,775 W 17th St,San Antonio,TX,78204,Dallas,Texas,210-812-9597,210-300-6244,valentine_gillian@gmail.com,11/21/2000,183-91-9597,11/21/2021,5261,3613,607,Peyton,Vasquez,1/24/1998,660-20-6244,Kansas City Insurance Report,4,4647.25,9/15/2021,New Home,315660,47349,0,N,505.61,477.87,661,Email/Fax,Rejected,Jose Lugo,Jack Bumgardner,ERA Sellers & Buyers Real Estate,Dallas,TX,EF51
Erick,Nievas,Male,Married,Latino,Soward  Anne Esq,45 E Acacia Ct,Houston,TX,60624,Houston,Texas,773-704-9903,773-359-6109,erick_nievas@aol.com,10/5/1982,933-53-9903,10/5/2021,7339,2388,663,Nathan,Chan,3/2/1979,582-72-6109,Woodbridge Free Public Library,23,7606.33,3/22/2018,New Home,440340,44034,0,N,705.31,666.63,719,Email/Fax,Pending,Eugene Kogan,Candace Mulhollan,RE/MAX One - Orange County,Houston,TX,EF77
Ronny,Caiafa,Male,Single,Latino,Remaco Inc,73 Southern Blvd,Philadelphia,NC,19103,Atlanta,North Carolina,215-605-7570,215-511-3531,ronny.caiafa@caiafa.org,1/21/1977,361-03-7570,1/21/1998,6025,3340,768,Sofia,Trinh,12/18/1985,168-41-3531,Peace Christian Center,16,5694.75,2/5/2021,Home Equity,361500,50610,180750,N,579.03,547.27,683,Email/Fax,Rejected,Julia Jones,Christa Huffstickler,Engel & Völkers Atlanta,Atlanta,GA,EF2
Edna,Miceli,Female,Married,Latino,Sampler,555 Main St,Erie,NC,16502,Atlanta,North Carolina,814-460-2655,814-299-2877,emiceli@miceli.org,2/26/1981,489-59-2655,2/26/2002,6318,5997,714,Hudson,Williams,3/19/1997,456-48-2877,Stephen Kennerly Archts Inc Pc,5,16266.67,10/22/2018,Home Equity,379080,45490,189540,N,607.19,573.89,732,Email/Fax,Approved,Don King,Cindy West,RE/MAX Town & Country,Atlanta,GA,EF3
Stephen,Cartan,Male,Single,Black,Box  J Calvin Esq,9390 S Howell Ave,Bellaire,NC,31701,Atlanta,North Carolina,229-735-3378,229-365-9658,scarlet.cartan@yahoo.com,5/16/1964,793-67-3378,5/16/2020,3445,4856,709,John,Jung,3/12/1997,771-90-9658,Freehold Fence Co,5,6100,3/23/2017,Reverse,206700,41340,0,N,331.08,312.92,588,Email/Fax,Pending,Don King,Carlos Giraldo,Keller Williams Realty,Atlanta,GA,EF4
Justine,Mugnolo,Female,Divorced,Asian,Evans Rule Company,38062 E Main St,New York,NY,10048,New York,New York,212-304-9225,212-311-6377,jmugnolo@yahoo.com,7/28/1981,620-11-9225,7/28/2021,3904,4562,763,Hadley,Dang,12/26/2000,976-96-6377,Johnson  Wes Esq,1,20297.33,7/18/2020,New Home,234240,46848,0,N,375.19,354.61,739,Email/Fax,Approved,Kim Abercrombie,Stacey Camilleri,Keller Williams Realty,New York,NY,EF88
Laurel,Pagliuca,Female,Married,Latino,Printing Images Corp,36 Enterprise St Se,Richland,NC,99352,Atlanta,North Carolina,509-695-5199,509-595-6485,laurel@yahoo.com,1/23/1955,275-86-5199,1/23/2019,13253,5078,733,Claire,Romero,7/21/1990,804-21-6485,Morlong Associates,11,18289.5,5/29/2021,Reverse,795180,47711,0,N,1273.68,1203.81,733,Email/Fax,Approved,Felix Odhiambo,Josh Pope,CENTURY 21 Smith Branch & Pope,Atlanta,GA,EF6
Portia,Stimmel,Male,Single,Black,Peace Christian Center,3732 Sherman Ave,Bridgewater,NY,8807,New York,New York,908-722-7128,908-670-4712,portia.stimmel@aol.com,8/27/1979,260-12-7128,8/27/2021,4076,2947,613,Stella,Wu,2/20/1993,758-11-4712,Morgan Custom Homes,9,12992.08,11/8/2022,New Home,244560,48912,0,N,391.72,370.24,735,Email/Fax,Approved,Bruce Mutiso,Annette Mina,Douglas Elliman,New York,NY,EF90
Loren,Asar,Female,Single,Latino,Olsen Payne & Company,6 Ridgewood Center Dr,Old Forge,NC,18518,Atlanta,North Carolina,570-648-3035,570-569-2356,loren.asar@aol.com,10/21/1965,624-55-3035,10/21/2016,4401,5398,618,Audrey,Patel,4/24/1990,346-85-2356,Vicon Corporation,12,10931.92,10/10/2020,Reverse,264060,52812,158436,Y,422.96,399.76,681,Email/Fax,Approved,Don King,Shanna Bradley,Ansley Atlanta Real Estate,Atlanta,GA,EF8
Joni,Paskin,Male,Married,Caucasian,Morgan Custom Homes,20113 4th Ave E,Kearny,NY,7032,New York,New York,201-431-2989,201-478-8540,lili.paskin@cox.net,7/3/2000,738-30-2989,7/3/2021,6895,4088,615,Audrey,Lee,2/11/1996,216-18-8540,Serendiquity Bed & Breakfast,6,7253,8/13/2019,New Home,413700,49644,0,N,662.64,626.3,792,Email/Fax,Rejected,Sidney Higa,Karen Cammarata,Howard Hanna Real S. Tier,New York,NY,EF94
